API Name,Summary
font-variant,"Selects a normal, or small-caps face from a font family. Also possible by using the font shorthand."
-ms-flex-pack,Gets or sets a value that specifies how excess space is distributed (along the axis defined by the -ms-flex-direction property) between child elements of the object.
align-content,"Aligns a flex container's lines within the flex container when there is extra space in the cross-axis, similar to how justify-content aligns individual items within the main-axis."
align-items,"Sets the default alignment in the cross axis for all of the flex container's items, including anonymous flex items, similarly to how justify-content aligns items along the main axis."
align-self,Allows the default alignment to be overridden for individual flex items.
alignment-adjust,"This property allows precise alignment of elements, such as graphics, that do not have a baseline-table or lack the desired baseline in their baseline-table. With the alignment-adjust property, the position of the baseline identified by the alignment-baseline can be explicitly determined. It also determines precisely the alignment point for each glyph within a textual element."
alignment-baseline,
animation-delay,"Defines a length of time to elapse before an animation starts, allowing an animation to begin execution some time after it is applied."
animation-direction,Defines whether an animation should run in reverse on some or all cycles.
animation-iteration-count,Specifies how many times an animation cycle should play.
animation-name,Defines the list of animations that apply to the element.
animation-play-state,Defines whether an animation is running or paused.
appearance,Allows changing the style of any element to platform-based interface elements or vice versa.
backface-visibility,Determines whether or not the “back” side of a transformed element is visible when facing the viewer.
background-blend-mode,"This property describes how the element's background images should blend with each other and the element's background color.
The value is a list of blend modes that corresponds to each background image. Each element in the list will apply to the corresponding element of background-image. If a property doesn’t have enough comma-separated values to match the number of layers, the UA must calculate its used value by repeating the list of values until there are enough."
background-composite,
background-image,"Applies one or more background images to an element. These can be any valid CSS image, including url() paths to image files or CSS gradients."
background-origin,Specifies what the background-position property is relative to.
background-position-x,Sets the horizontal position of a background image.
background-repeat,Background-repeat defines if and how background images will be repeated after they have been sized and positioned
baseline-shift,"Obsolete - spec retired, not implemented."
behavior,Non standard. Sets or retrieves the location of the Dynamic HTML (DHTML) behavior.
border,"Shorthand property that defines the different properties of all four sides of an element's border in a single declaration. It can be used to set border-width, border-style and border-color, or a subset of these."
border-bottom-left-radius,Defines the shape of the border of the bottom-left corner.
border-bottom-right-radius,Defines the shape of the border of the bottom-right corner.
border-bottom-width,"Sets the width of an element's bottom border. To set all four borders, use the border-width shorthand property which sets the values simultaneously for border-top-width, border-right-width, border-bottom-width, and border-left-width."
border-collapse,Border-collapse can be used for collapsing the borders between table cells
border-color,"The CSS border-color property sets the color of an element's four borders. This property can have from one to four values, made up of the elementary properties: 	•	border-top-color
	•	border-right-color
	•	border-bottom-color
	•	border-left-color The default color is the currentColor of each of these values.
If you provide one value, it sets the color for the element. Two values set the horizontal and vertical values, respectively. Providing three values sets the top, vertical, and bottom values, in that order. Four values set all for sides: top, right, bottom, and left, in that order."
border-corner-shape,"Specifies different corner clipping effects, such as scoop (inner curves), bevel (straight cuts) or notch (cut-off rectangles). Works along with border-radius to specify the size of each corner effect."
border-image-source,The property border-image-source is used to set the image to be used instead of the border style. If this is set to none the border-style is used instead.
border-image-width,"The border-image-width CSS property defines the offset to use for dividing the border image in nine parts, the top-left corner, central top edge, top-right-corner, central right edge, bottom-right corner, central bottom edge, bottom-left corner, and central right edge. They represent inward distance from the top, right, bottom, and left edges."
border-left,"Shorthand property that defines the border-width, border-style and border-color of an element's left border in a single declaration. Note that you can use the corresponding longhand properties to set specific individual properties of the left border — border-left-width, border-left-style and border-left-color."
border-left-color,"The CSS border-left-color property sets the color of an element's left border. This page explains the border-left-color value, but often you will find it more convenient to fix the border's left color as part of a shorthand set, either border-left or border-color.
Colors can be defined several ways. For more information, see Usage."
border-left-style,"Sets the style of an element's left border. To set all four borders, use the shorthand property, border-style. Otherwise, you can set the borders individually with border-top-style, border-right-style, border-bottom-style, border-left-style."
border-left-width,"Sets the width of an element's left border. To set all four borders, use the border-width shorthand property which sets the values simultaneously for border-top-width, border-right-width, border-bottom-width, and border-left-width."
border-right,"Shorthand property that defines the border-width, border-style and border-color of an element's right border in a single declaration. Note that you can use the corresponding longhand properties to set specific individual properties of the right border — border-right-width, border-right-style and border-right-color."
border-right-color,"Sets the color of an element's right border. This page explains the border-right-color value, but often you will find it more convenient to fix the border's right color as part of a shorthand set, either border-right or border-color.
Colors can be defined several ways. For more information, see Usage."
border-right-style,"Sets the style of an element's right border. To set all four borders, use the shorthand property, border-style. Otherwise, you can set the borders individually with border-top-style, border-right-style, border-bottom-style, border-left-style."
border-right-width,"Sets the width of an element's right border. To set all four borders, use the border-width shorthand property which sets the values simultaneously for border-top-width, border-right-width, border-bottom-width, and border-left-width."
border-spacing,Specifies the distance between the borders of adjacent cells.
border-style,"Sets the style of an element's four borders. This property can have from one to four values. With only one value, the value will be applied to all four borders; otherwise, this works as a shorthand property for each of border-top-style, border-right-style, border-bottom-style, border-left-style, where each border style may be assigned a separate value."
border-top,"Shorthand property that defines the border-width, border-style and border-color of an element's top border in a single declaration. Note that you can use the corresponding longhand properties to set specific individual properties of the top border — border-top-width, border-top-style and border-top-color."
border-top-color,"Sets the color of an element's top border. This page explains the border-top-color value, but often you will find it more convenient to fix the border's top color as part of a shorthand set, either border-top or border-color.
Colors can be defined several ways. For more information, see Usage."
border-top-left-radius,Sets the rounding of the top-left corner of the element.
border-top-right-radius,Sets the rounding of the top-right corner of the element.
border-top-style,"Sets the style of an element's top border. To set all four borders, use the shorthand property, border-style. Otherwise, you can set the borders individually with border-top-style, border-right-style, border-bottom-style, border-left-style."
border-top-width,"Sets the width of an element's top border. To set all four borders, use the border-width shorthand property which sets the values simultaneously for border-top-width, border-right-width, border-bottom-width, and border-left-width."
border-width,"Sets the width of an element's four borders. This property can have from one to four values. This is a shorthand property for setting values simultaneously for border-top-width, border-right-width, border-bottom-width, and border-left-width."
box-align,Obsolete.
box-decoration-break,"Breaks a box into fragments creating new borders, padding and repeating backgrounds or lets it stay as a continuous box on a page break, column break, or, for inline elements, at a line break."
box-direction,Deprecated
box-flex,Do not use. This property has been replaced by the flex property.
box-line-progression,"Do not use. This property has been replaced by the flex-wrap property.
Gets or sets a value that specifies the direction to add successive rows or columns when the value of box-lines is set to multiple."
box-lines,"Do not use. This property has been replaced by the flex-wrap property.
Gets or sets a value that specifies whether child elements wrap onto multiple lines or columns based on the space available in the object."
box-ordinal-group,"Do not use. This property has been replaced by flex-order.
Specifies the ordinal group that a child element of the object belongs to. This ordinal value identifies the display order (along the axis defined by the box-orient property) for the group."
break-after,"The CSS break-after property allows you to force a break on multi-column layouts. More specifically, it allows you to force a break after an element. It allows you to determine if a break should occur, and what type of break it should be. The break-after CSS property describes how the page, column or region break behaves after the generated box. If there is no generated box, the property is ignored."
break-before,Control page/column/region breaks that fall above a block of content
break-inside,Control page/column/region breaks that fall within a block of content
clear,The clear CSS property specifies if an element can be positioned next to or must be positioned below the floating elements that precede it in the markup.
clip,"Deprecated; see clip-path.
Lets you specify the dimensions of an absolutely positioned element that should be visible, and the element is clipped into this shape, and displayed."
clip-rule,"Clipping crops an graphic, so that only a portion of the graphic is rendered, or filled. This clip-rule property, when used with the clip-path property, defines which clip rule, or algorithm, to use when filling the different parts of a graphics."
color,"The color property sets the color of an element's foreground content (usually text), accepting any standard CSS color from keywords and hex values to RGB(a) and HSL(a)."
column-count,Specifies the number of columns an element should be divided into.
column-fill,Specifies how to fill columns (balanced or sequential).
column-gap,The column-gap property controls the width of the gap between columns in multi-column elements.
column-rule,"Sets the width, style, and color of the rule between columns."
column-rule-color,Specifies the color of the rule between columns.
column-rule-width,Specifies the width of the rule between columns.
column-span,The column-span CSS property makes it possible for an element to span across all columns when its value is set to all. An element that spans more than one column is called a spanning element.
column-width,Specifies the width of columns in multi-column elements.
columns,This property is a shorthand property for setting column-width and/or column-count.
counter-increment,"The counter-increment property accepts one or more names of counters (identifiers), each one optionally followed by an integer which specifies the value by which the counter should be incremented (e.g. if the value is 2, the counter increases by 2 each time it is invoked)."
counter-reset,"The counter-reset property contains a list of one or more names of counters, each one optionally followed by an integer (otherwise, the integer defaults to 0.) Each time the given element is invoked, the counters specified by the property are set to the given integer."
cue,"The cue property specifies sound files (known as an ""auditory icon"") to be played by speech media agents before and after presenting an element's content; if only one file is specified, it is played both before and after. The volume at which the file(s) should be played, relative to the volume of the main element, may also be specified. The icon files may also be set separately with the cue-before and cue-after properties."
